,drawing,word
12,"[[[0, 17, 34, 51, 90, 118, 141, 191, 212, 240, 255], [188, 174, 169, 171, 182, 186, 185, 171, 167, 168, 175]], [[35, 34, 36, 53, 73, 106, 151, 176, 191, 198, 203], [174, 150, 132, 102, 82, 70, 72, 82, 101, 114, 158]], [[93, 96, 96, 91, 78, 61, 82, 90, 98, 100, 101, 108, 126, 138, 125, 118, 106, 100, 95, 91, 83, 71, 60, 80, 93, 103, 104, 101], [71, 68, 56, 44, 33, 28, 26, 29, 42, 68, 46, 30, 10, 6, 18, 30, 57, 79, 66, 30, 14, 4, 0, 3, 13, 35, 48, 51]]]",banana
13,"[[[106, 104, 110], [148, 83, 54]], [[93, 84, 82, 90, 101], [140, 114, 91, 55, 42]], [[114, 167, 166, 144, 128, 124, 126], [53, 71, 52, 48, 41, 38, 36]], [[96, 94, 96, 102, 116, 130, 136, 138, 131, 114, 102], [21, 27, 33, 38, 41, 33, 25, 11, 1, 0, 7]], [[100, 97, 66, 53, 37, 14, 5, 0, 4, 14, 23, 50, 81, 105, 116], [128, 129, 121, 121, 126, 142, 151, 167, 181, 193, 198, 197, 183, 165, 159]], [[37, 34, 35, 42], [186, 193, 204, 230]], [[84, 82, 84, 94], [179, 191, 203, 222]], [[96, 93], [232, 249]], [[100, 125], [225, 235]], [[55, 39], [224, 249]], [[42, 49, 77], [218, 235, 255]]]",bee
14,"[[[19, 40, 70, 185, 229, 234, 234, 222, 189, 164, 127, 23, 4, 0, 0, 11], [167, 173, 176, 174, 72, 37, 32, 29, 8, 1, 0, 27, 84, 114, 133, 164]], [[20, 18, 23, 62, 165, 184, 208, 238, 249, 241], [76, 69, 63, 43, 25, 24, 30, 46, 57, 54]], [[24, 30, 76, 122, 185, 209, 255], [53, 47, 26, 16, 13, 16, 32]]]",toaster
15,"[[[0, 8, 10, 1, 128, 165, 171, 191], [27, 75, 127, 7, 6, 0, 8, 108]], [[10, 34, 70], [130, 171, 253]], [[195, 196, 220, 238, 233, 210, 138, 93, 88, 83], [104, 111, 151, 188, 193, 197, 228, 254, 255, 246]], [[17, 192], [135, 95]], [[51, 83, 89, 83], [136, 221, 231, 212]], [[59, 74, 86, 100, 119], [99, 122, 134, 158, 205]]]",laptop
16,"[[[21, 14, 10, 4, 3, 17, 32, 50, 73, 86, 92, 91, 77, 62, 40, 29, 24], [16, 18, 23, 53, 74, 93, 99, 99, 89, 78, 63, 37, 17, 8, 7, 11, 16]], [[33, 27, 27, 35, 43, 50, 49, 42, 33, 33], [42, 55, 75, 76, 71, 57, 50, 42, 40, 42]], [[65, 66, 72, 79, 82, 83, 77, 65], [40, 65, 68, 66, 62, 51, 43, 38]], [[89, 133, 165, 180, 185, 188, 179, 166, 148, 104, 83, 80, 80], [33, 21, 23, 31, 38, 61, 76, 88, 96, 98, 93, 92, 88]], [[192, 206, 234, 250, 255, 254, 249, 223, 186, 157, 148, 145, 148, 187, 207, 208, 201, 193], [43, 45, 57, 71, 84, 99, 108, 133, 147, 148, 145, 141, 138, 118, 97, 71, 59, 56]], [[8, 4, 4, 12, 24, 30], [23, 19, 12, 2, 1, 5]], [[73, 70, 79, 93, 102, 104], [11, 8, 2, 0, 3, 14]], [[193, 195, 239], [55, 52, 54]], [[204, 240], [76, 72]], [[208, 246, 251], [86, 87, 91]], [[202, 235, 238, 237], [105, 105, 106, 108]], [[193, 194, 213, 215], [118, 123, 132, 137]], [[180, 193], [137, 147]], [[85, 84, 89, 90], [89, 108, 106, 95]], [[59, 60, 68], [102, 109, 106]], [[142, 143, 149, 152], [103, 107, 108, 100]], [[174, 170, 175, 177], [93, 98, 99, 90]], [[132, 137, 150], [29, 41, 49]], [[21, 35, 37, 29, 38, 39, 35, 22, 20, 23, 33, 44, 52, 51, 29, 29, 41], [41, 38, 45, 54, 54, 57, 64, 69, 68, 60, 52, 49, 51, 54, 60, 55, 43]], [[67, 57, 57, 75, 83, 84, 76, 69, 80, 86, 87, 83, 72, 71, 76, 93, 100], [55, 56, 53, 41, 40, 44, 53, 55, 51, 52, 55, 58, 57, 47, 44, 43, 47]], [[80, 82, 91, 90, 86, 98, 99, 79], [16, 10, 7, 13, 17, 14, 17, 26]], [[0, 31, 30, 10], [15, 1, 6, 18]]]",raccoon
17,"[[[0, 157, 187, 204, 255], [10, 28, 26, 28, 43]], [[67, 68, 119, 134, 134, 130, 92, 70, 66], [15, 34, 40, 38, 7, 0, 5, 4, 15]]]",The_Great_Wall_of_China
18,"[[[0, 2, 13, 31, 42, 60, 67, 76, 117, 154, 170, 185, 205, 225, 235, 255], [43, 35, 23, 11, 13, 39, 43, 42, 15, 13, 18, 47, 39, 23, 20, 53]], [[14, 13, 21, 22, 16, 17], [18, 2, 3, 12, 16, 12]], [[21, 25, 30, 29, 23], [2, 0, 3, 10, 11]], [[28, 31], [2, 1]]]",roller_coaster
19,"[[[23, 24, 27, 31, 37, 51, 59, 64, 64, 57, 89, 100, 101, 90, 61, 34, 17, 8, 2, 0, 3, 18, 23], [106, 215, 245, 254, 255, 255, 250, 236, 180, 105, 88, 70, 52, 31, 6, 0, 6, 15, 28, 51, 65, 93, 111]]]",spoon
20,"[[[255, 222], [75, 94]], [[207, 207, 212, 219, 233], [77, 82, 85, 99, 111]], [[233, 215], [112, 115]], [[219, 193], [96, 93]], [[205, 189, 174], [78, 76, 78]], [[0, 4, 12, 49, 81, 96, 107, 112, 118], [0, 31, 54, 62, 56, 50, 33, 10, 3]], [[53, 42], [10, 53]], [[41, 42, 38, 41, 38, 40], [50, 74, 100, 137, 160, 186]], [[1, 8, 19, 25], [3, 32, 47, 63]], [[55, 50, 56, 61], [7, 34, 57, 65]], [[115, 114], [22, 26]]]",fork
21,"[[[0, 28, 29, 39, 64, 56, 138], [104, 100, 75, 35, 36, 94, 87]], [[137, 135, 131, 126, 44, 13, 3, 7], [87, 137, 167, 171, 169, 161, 149, 109]], [[39, 39, 21], [31, 14, 4]], [[48, 51, 66, 93], [34, 28, 15, 5]], [[45, 53], [30, 0]], [[134, 138, 150, 191, 196], [93, 90, 89, 89, 92]], [[134, 151], [136, 134]], [[197, 176, 176, 178, 225, 241, 244, 255, 249, 204], [88, 152, 171, 174, 169, 164, 160, 86, 84, 90]], [[17, 7, 7, 10], [164, 177, 184, 185]], [[16, 25, 28, 27], [185, 182, 174, 168]], [[62, 60, 58, 56], [173, 172, 175, 185]], [[67, 74, 79, 70], [185, 183, 176, 172]], [[207, 199], [174, 185]], [[212, 216, 213], [185, 179, 170]], [[235, 229, 227, 239], [169, 175, 183, 182]]]",train
22,"[[[127, 112, 93, 69, 57, 33, 16, 9, 4, 4, 8, 18, 42, 91, 137, 235, 246, 251, 255, 255, 245, 214, 165, 140, 117], [36, 42, 43, 52, 53, 68, 85, 98, 117, 138, 149, 164, 184, 208, 221, 233, 222, 211, 187, 141, 115, 84, 51, 40, 38]], [[199, 220, 230, 238, 243, 254, 255, 235, 231], [69, 35, 30, 30, 34, 49, 69, 101, 103]], [[81, 74, 59, 42, 25, 17, 5, 1, 0, 4, 19, 27], [46, 24, 11, 1, 0, 4, 18, 30, 46, 53, 64, 59]], [[67, 47, 34, 26, 25, 30, 40], [47, 27, 22, 29, 49, 53, 53]], [[209, 230, 231], [75, 58, 84]], [[126, 123, 132, 139, 140, 138, 128], [129, 144, 148, 148, 130, 126, 129]]]",bear
23,"[[[97, 39, 35, 42, 94, 136, 161, 166, 169, 164, 148, 139, 101], [3, 28, 46, 63, 82, 82, 73, 66, 47, 36, 19, 13, 0]], [[25, 25, 12, 0, 10, 36, 81, 136, 154, 171, 173, 181], [37, 72, 136, 231, 238, 243, 248, 248, 235, 184, 99, 62]], [[173, 190, 206, 218, 203, 201, 174], [190, 193, 191, 174, 160, 151, 143]], [[171, 171], [141, 129]], [[171, 173, 183, 212, 230, 253, 255, 251, 233, 200], [119, 111, 107, 108, 119, 154, 180, 190, 200, 201]]]",toaster
24,"[[[155, 130, 103, 75, 44, 27, 2, 2, 11, 30, 50, 67, 88, 152, 171, 190, 195, 192, 196, 201, 206], [141, 125, 124, 130, 152, 154, 151, 173, 193, 217, 232, 238, 240, 228, 217, 199, 172, 93, 69, 66, 68]], [[202, 214, 227, 245, 246, 233, 230, 235, 255, 251, 243, 221, 204, 186, 161, 139, 134, 142, 144, 147], [73, 76, 75, 64, 60, 51, 44, 36, 25, 16, 9, 1, 1, 5, 19, 41, 49, 131, 141, 142]]]",bee
25,"[[[44, 42, 35, 28, 24, 2, 0, 160, 228, 230, 251, 251, 255, 195, 143, 94, 79], [8, 85, 126, 128, 136, 193, 212, 204, 204, 187, 133, 67, 23, 8, 0, 0, 3]], [[54, 61, 249], [129, 126, 128]], [[79, 55], [135, 186]], [[116, 98], [130, 204]], [[176, 150], [140, 222]], [[211, 208, 194], [123, 153, 211]]]",laptop
26,"[[[44, 59, 68, 76, 81, 82, 70, 75, 100, 119, 136, 144, 149, 144, 137, 143, 137, 133, 130, 122, 122, 116, 107, 107, 100, 95, 91, 91, 89, 85, 81, 77, 64, 49, 47, 65, 59, 51, 41, 26, 8, 0, 2, 12, 41], [18, 17, 24, 37, 56, 84, 186, 190, 184, 183, 192, 205, 231, 213, 206, 246, 254, 255, 251, 217, 237, 247, 215, 247, 253, 240, 216, 240, 244, 239, 199, 205, 204, 192, 172, 114, 73, 56, 47, 42, 46, 34, 28, 24, 19]], [[48, 48], [19, 5]], [[55, 60], [15, 4]]]",giraffe
27,"[[[133, 114, 78, 47, 29, 18, 11, 2, 0, 1, 12, 37, 67, 85, 104, 121, 135, 148, 154, 155, 152, 143, 133, 95, 78, 62, 52, 53, 59, 77, 95, 111, 118, 115, 94, 85], [3, 0, 1, 11, 22, 33, 48, 75, 115, 126, 150, 177, 191, 195, 196, 193, 183, 163, 145, 108, 86, 70, 62, 61, 73, 99, 134, 142, 153, 162, 161, 155, 139, 112, 109, 121]], [[130, 141, 162, 178, 194, 199, 197, 217, 233, 246, 254, 255, 242, 249, 252, 253], [0, 7, 30, 52, 82, 122, 168, 168, 163, 144, 122, 99, 54, 47, 48, 58]]]",light_bulb
28,"[[[4, 0], [0, 43]], [[77, 70], [14, 49]], [[22, 21], [172, 213]], [[129, 127], [232, 255]], [[145, 136], [127, 157]]]",rain
29,"[[[0, 18, 33, 40, 59, 60, 57, 48, 33, 25, 12, 7], [58, 12, 0, 2, 47, 92, 100, 109, 140, 143, 105, 67]], [[27, 31, 33], [140, 187, 255]]]",popsicle
30,"[[[13, 153, 238, 254, 254, 238, 215, 159, 116, 27, 16, 0, 4, 20, 26], [4, 16, 28, 47, 63, 75, 81, 83, 74, 65, 58, 24, 9, 0, 1]], [[32, 32], [29, 29]], [[69, 63], [28, 31]], [[45, 45], [30, 30]], [[36, 41], [32, 34]], [[116, 99, 92], [13, 47, 69]], [[164, 141], [18, 81]], [[200, 204], [44, 45]], [[190, 190], [63, 63]]]",bandage
31,"[[[139, 142, 154, 207, 249, 255], [43, 48, 53, 55, 38, 25]], [[131, 136, 142], [41, 54, 119]], [[254, 249, 242], [35, 77, 111]], [[136, 151, 157], [63, 67, 50]], [[151, 154, 168, 176, 177], [63, 69, 68, 60, 53]], [[144, 142, 151, 156, 152], [66, 83, 83, 73, 64]], [[164, 162, 184, 173, 177, 167, 157], [67, 91, 83, 76, 66, 67, 77]], [[136, 142, 145, 149, 165, 159, 161, 142], [87, 90, 101, 100, 90, 85, 75, 84]], [[153, 156, 160, 168, 163], [96, 108, 106, 97, 90]], [[184, 187, 189, 192, 199, 197, 190, 181], [82, 76, 92, 92, 71, 68, 68, 79]], [[179, 175, 183, 194, 189, 182], [52, 77, 74, 63, 58, 58]], [[166, 166, 172, 183, 174], [92, 100, 103, 91, 87]], [[195, 192, 194, 198, 208, 193], [91, 92, 100, 101, 92, 89]], [[202, 203, 209, 215, 215, 207, 189, 187], [50, 73, 73, 66, 62, 57, 67, 72]], [[202, 203, 210, 213, 205], [79, 88, 88, 84, 82]], [[124, 125, 130, 2, 12, 34, 29, 4, 0, 7], [0, 9, 12, 12, 17, 17, 22, 33, 37, 37]], [[138, 134, 137, 162, 175, 167, 142, 136, 129], [4, 7, 13, 16, 10, 2, 0, 4, 3]], [[223, 220, 224, 245], [28, 29, 34, 32]]]",roller_coaster
32,"[[[40, 22, 13, 2, 0, 5, 59, 65, 69, 69, 61, 71, 86, 106, 153, 171, 211, 235], [0, 3, 8, 22, 34, 40, 40, 45, 64, 94, 212, 232, 244, 252, 255, 251, 235, 212]], [[110, 116, 121, 128, 158, 174, 165, 154, 139, 161, 181, 202, 201, 197, 180, 169], [78, 116, 123, 123, 87, 51, 91, 117, 136, 117, 93, 54, 87, 100, 126, 137]], [[116, 114, 118, 137, 146, 157, 135], [151, 195, 204, 225, 231, 234, 185]]]",giraffe
33,"[[[31, 88, 179, 221, 241], [60, 69, 77, 67, 49]], [[29, 55, 126, 158, 168, 175, 186, 202, 216, 240, 255, 251, 232], [61, 54, 51, 46, 41, 21, 9, 2, 0, 6, 19, 36, 53]], [[189, 198, 210, 225, 232], [49, 52, 52, 44, 36]], [[170, 39, 11, 5, 8, 22, 37, 169, 214], [37, 37, 44, 52, 58, 65, 69, 78, 74]], [[162, 107, 33, 14, 5, 0, 5, 25, 55, 182, 211, 174, 20, 6, 5, 10, 27, 55, 93, 113, 110, 22, 87, 14, 116, 49, 163, 103, 180, 110, 147, 178, 59, 99, 127, 61], [42, 33, 39, 43, 48, 57, 65, 73, 78, 72, 75, 69, 65, 57, 50, 44, 39, 38, 43, 51, 53, 56, 58, 50, 53, 46, 53, 46, 57, 54, 62, 65, 58, 67, 70, 67]], [[182, 187, 203, 221, 227, 225, 218, 205, 190, 182, 185, 191], [45, 50, 51, 42, 31, 22, 17, 15, 19, 26, 39, 44]]]",cake
34,"[[[190, 187, 181, 159, 145, 124, 108, 91, 72, 63, 46, 37, 35, 38, 48, 67], [126, 107, 92, 63, 50, 38, 33, 33, 39, 45, 67, 92, 107, 136, 167, 188]], [[5, 23, 57, 146, 184, 231, 255], [182, 185, 181, 154, 133, 83, 69]], [[3, 0, 6, 14, 30, 49, 67, 121, 173, 200, 227, 242, 245, 245, 238], [191, 204, 220, 227, 234, 236, 234, 216, 185, 161, 131, 109, 98, 82, 67]], [[242, 231], [74, 17]], [[239, 237, 238, 244, 242], [11, 5, 10, 7, 0]], [[166, 163, 150, 122, 96, 88, 82, 76, 78, 96, 109, 122, 129, 132, 128], [139, 116, 98, 84, 81, 84, 91, 120, 130, 144, 146, 142, 135, 124, 116]]]",snail
35,"[[[4, 23, 49, 113, 148, 167, 205, 214, 250, 254, 255], [78, 66, 64, 78, 80, 75, 54, 53, 61, 61, 58]], [[0, 19, 60, 132, 155, 188, 231, 255], [50, 39, 35, 54, 55, 48, 29, 22]], [[33, 33, 49, 81, 73], [63, 55, 3, 0, 68]], [[43, 41, 48, 55, 61, 67, 67], [61, 50, 26, 13, 10, 23, 67]], [[187, 183, 185, 208, 227, 219], [57, 44, 20, 15, 4, 58]], [[196, 195, 201, 207, 211], [51, 36, 24, 21, 62]], [[31, 26, 27, 30], [71, 120, 135, 136]], [[67, 69], [73, 85]]]",roller_coaster
36,"[[[111, 87, 65, 22, 6, 2, 6, 12, 42, 71, 106, 120, 122, 117, 101], [95, 88, 88, 96, 104, 109, 118, 122, 128, 127, 119, 111, 106, 101, 96]], [[0, 2, 7, 11], [111, 192, 230, 242]], [[11, 36, 77, 96, 115], [241, 252, 255, 250, 239]], [[117, 119, 112, 114], [109, 165, 212, 236]], [[117, 133, 163, 180, 188, 184, 173, 164, 153, 137, 123], [148, 133, 127, 136, 157, 179, 193, 199, 202, 202, 191]], [[119, 136, 150, 165, 170, 170, 165, 150, 127, 117], [160, 146, 141, 141, 151, 175, 185, 191, 183, 176]], [[122, 117], [191, 184]], [[47, 54, 51, 37, 35, 39, 59], [103, 87, 77, 57, 41, 32, 3]], [[80, 82, 74, 74, 99], [93, 74, 45, 31, 0]]]",coffee_cup
37,"[[[70, 56, 52, 59, 64, 70, 76, 86, 118, 143, 151, 164, 207, 250, 255, 241, 225, 172, 157, 184, 175], [121, 66, 30, 12, 4, 0, 0, 8, 51, 111, 92, 81, 67, 68, 93, 114, 126, 144, 155, 209, 205]], [[100, 139, 150, 147], [171, 221, 237, 236]], [[98, 86, 61, 24, 4, 0, 5, 15, 53, 59], [167, 181, 189, 183, 176, 164, 155, 149, 137, 127]], [[68, 68], [145, 145]]]",cactus
38,"[[[171, 146, 136, 107, 102, 61, 39, 27, 0, 8, 23, 39, 69, 99, 99, 115, 157, 168, 220, 219, 204, 171, 162], [14, 46, 65, 96, 108, 144, 174, 176, 249, 254, 255, 246, 219, 180, 172, 165, 102, 93, 19, 0, 4, 29, 30]]]",bee
39,"[[[0, 4, 34, 62, 77, 108, 159, 191, 209, 238, 248, 255, 255], [211, 186, 114, 66, 51, 36, 34, 50, 67, 96, 114, 141, 248]], [[91, 91, 94], [0, 26, 36]], [[97, 168, 182], [11, 5, 31]]]",roller_coaster
